Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,-1.4542,-0.1762,-0.1334,-0.1565,0.7172,-0.0199,0.1416,-1.1067,-1.3849,-0.4304,-0.5941,-0.6000,-1.5399,-2.1445,0.8894,-1.0778,-1.8820,-1.0626,-1.1629
3.9062,0.4068,1.0952,-0.1524,0.7421,1.5855,1.0537,1.2977,-0.2524,-0.4299,0.4495,-0.0847,-0.2647,-1.3102,-2.1740,1.3335,-1.2195,-1.8567,-0.4990,-1.1343
7.8125,2.3683,1.9210,-0.5703,1.2908,2.0497,2.0337,1.8436,0.5239,0.1782,0.7763,-0.0734,-0.3236,-0.9755,-2.0890,1.2419,-1.7530,-1.4608,-0.2941,-1.2169
11.7188,2.8610,1.7702,-1.1934,1.1870,1.9862,2.1579,1.4456,1.0415,0.0642,0.0092,-0.6463,-0.7291,-0.3893,-1.5079,0.3286,-2.4177,-0.7293,-0.6776,-1.2038
15.6250,0.9209,0.7578,-1.5707,0.5982,1.6624,1.0598,0.3699,1.3507,-0.7168,-1.9602,-1.5958,-1.1600,0.4676,-0.1744,-1.3857,-2.8214,0.0887,-1.5409,-0.8647
19.5312,-2.8282,-0.3622,-1.2603,0.0635,1.4959,-0.8128,-0.6457,1.6414,-1.6445,-4.5249,-2.5197,-1.2535,1.4119,1.7923,-3.4539,-2.7127,0.6806,-2.4220,-0.1404
23.4375,-6.2425,-0.6923,-0.1317,0.1145,1.7052,-2.3343,-0.8572,2.0365,-2.0138,-6.5017,-3.0073,-0.8846,2.1506,3.8820,-5.1155,-2.1580,0.8931,-2.7236,0.7823
27.3438,-6.9156,0.1633,1.5064,0.8933,2.1406,-2.3854,-0.0046,2.4527,-1.3617,-6.7145,-2.8111,-0.2682,2.4841,5.4543,-5.6421,-1.4827,0.8537,-2.0576,1.5881
31.2500,-3.8315,1.7938,3.0572,2.0492,2.4268,-0.6361,1.5119,2.6531,0.2445,-4.6967,-1.9244,0.2148,2.4578,6.1072,-4.7322,-1.0086,0.8756,-0.5026,2.0578
35.1562,1.7874,3.2752,3.9823,2.9877,2.2855,2.1519,2.8970,2.4505,2.2607,-1.0367,-0.5421,0.3504,2.3301,5.8970,-2.6962,-0.7846,1.1977,1.4113,2.2219
39.0625,7.1344,3.8677,4.1235,3.2836,1.7587,4.5685,3.4835,1.8872,4.0256,2.9057,1.0605,0.3263,2.3742,5.2583,-0.2851,-0.5182,1.7554,3.0112,2.3233
42.9688,9.5917,3.5952,3.7898,2.9608,1.1495,5.4591,3.1515,1.2305,5.1726,5.7546,2.6600,0.6633,2.6683,4.6935,1.7328,0.2203,2.1826,3.9019,2.6215
