Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,3.1720,2.9117,2.5321,2.7476,-0.3388,1.7617,0.9204,0.9644,2.8240,1.0557,1.9789,1.2874,1.4865,-1.6663,-0.0681,-1.3117,-1.5126,2.6000,1.8041
3.9062,1.1166,1.9673,2.1342,1.8352,-0.8466,0.1529,0.2073,0.8538,2.0083,-0.0379,1.7258,1.9317,2.0942,-1.1010,-0.4731,-1.2609,-0.0377,2.5516,2.0877
7.8125,-1.4551,0.9451,1.9635,0.9830,-1.1067,-1.3693,-0.4049,1.0536,1.1225,-1.4272,1.6116,2.8236,2.6423,-0.2382,-0.6868,-0.7567,1.7214,2.7419,2.7657
11.7188,-3.6139,0.3424,2.3078,0.6554,-0.6865,-1.9439,-0.5491,1.5546,0.5972,-2.5019,1.8347,3.7282,2.9952,0.7782,-0.4491,0.3027,3.2578,3.2800,3.9657
15.6250,-4.5020,0.5207,3.2415,1.1236,0.6286,-1.0630,-0.0364,2.1745,0.7394,-2.6892,2.4674,4.4104,3.2078,1.7506,0.2889,1.7510,4.2058,4.1177,5.6307
19.5312,-3.8501,1.4564,4.5197,2.2504,2.6208,1.0560,1.0053,2.6551,1.5119,-1.8755,3.3619,4.7622,3.4805,2.4960,1.2761,3.1834,4.5302,5.0249,7.4588
23.4375,-2.1859,2.6933,5.6368,3.4843,4.6467,3.5074,2.1573,2.7936,2.4957,-0.5738,4.1601,4.8329,3.9781,2.8973,2.0491,4.1421,4.4991,5.6536,8.9589
27.3438,-0.5770,3.5409,6.0307,4.0886,5.9016,5.1500,2.8907,2.5152,3.0798,0.3356,4.4239,4.7421,4.6466,2.9262,2.1698,4.3517,4.4750,5.6648,9.6125
31.2500,-0.0443,3.4128,5.3308,3.4910,5.8159,5.2058,2.8047,1.8557,2.7793,0.1598,3.8371,4.5488,5.1783,2.6410,1.4830,3.8627,4.6820,4.8591,9.0696
35.1562,-0.9984,2.1170,3.5294,1.5679,4.3617,3.6446,1.8045,0.8966,1.4979,-1.1309,2.3800,4.1856,5.1748,2.1679,0.2408,3.0143,5.1062,3.2576,7.2900
39.0625,-3.0384,-0.0581,0.9971,-1.2865,2.0921,1.1338,0.1420,-0.2712,-0.4174,-2.8632,0.3819,3.5186,4.4071,1.6665,-0.9923,2.2459,5.5717,1.1071,4.5679
42.9688,-5.2250,-2.4902,-1.6524,-4.3270,-0.1117,-1.3822,-1.6852,-1.5184,-2.3569,-4.1193,-1.5917,2.4936,2.9901,1.2839,-1.6199,1.8802,5.9024,-1.1874,1.4440
46.8750,-6.6420,-4.5086,-3.7838,-6.7594,-1.4351,-3.1896,-3.1219,-2.6234,-3.7552,-4.3874,-2.9792,1.2501,1.3406,1.1102,-1.3330,2.0030,6.0296,-3.1771,-1.4523
50.7812,-6.9007,-5.6640,-4.9568,-8.0230,-1.4509,-4.0962,-3.7549,-3.2745,-4.3497,-3.9356,-3.4770,0.1005,-0.0586,1.1602,-0.2961,2.4858,5.9748,-4.5003,-3.5706
54.6875,-6.2977,-5.8685,-5.0631,-7.9407,-0.2132,-4.3807,-3.4604,-3.1772,-4.2634,-3.6206,-3.1844,-0.6309,-0.9288,1.3944,0.9094,3.0955,5.7531,-4.9942,-4.5788
58.5938,-5.5730,-5.3731,-4.3452,-6.7108,1.8735,-4.5038,-2.4523,-2.2224,-3.8908,-4.2512,-2.5568,-0.8098,-1.3153,1.7709,1.5627,3.5983,5.3095,-4.7525,-4.4467
62.5000,-5.4519,-4.6304,-3.2965,-4.7922,4.2834,-4.8104,-1.2119,-0.6073,-3.6765,-5.9610,-2.1877,-0.5907,-1.4855,2.2881,1.1605,3.8016,4.5638,-4.0985,-3.4575
66.4062,-6.2572,-4.1164,-2.4748,-2.7484,6.5478,-5.3986,-0.3088,1.1979,-3.9124,-8.0538,-2.5223,-0.3374,-1.6945,2.9827,-0.3298,3.5568,3.5319,-3.4674,-2.1225
70.3125,-7.7907,-4.1705,-2.2929,-1.0985,8.3161,-6.1730,-0.1688,2.6431,-4.6397,-9.4472,-3.6489,-0.4072,-1.9930,3.8741,-2.4518,2.7859,2.4145,-3.2300,-1.0033
74.2188,-9.4989,-4.8922,-2.8624,-0.1889,9.3430,-6.9747,-0.8820,3.3510,-5.6718,-9.4009,-5.2667,-0.9343,-2.2103,4.8992,-4.4804,1.5546,1.5608,-3.5306,-0.4873
78.1250,-10.7805,-6.1135,-3.9556,-0.1024,9.4877,-7.6617,-2.1452,3.2819,-6.6935,-8.0101,-6.8387,-1.7481,-2.1014,5.8967,-5.7578,0.1441,1.3114,-4.2186,-0.6140
82.0312,-11.2504,-7.4583,-5.1074,-0.6343,8.7683,-8.1088,-3.3867,2.7174,-7.3799,-6.1149,-7.8382,-2.4706,-1.5325,6.6772,-5.9670,-0.9735,1.8264,-4.9191,-1.0551
85.9375,-10.8494,-8.4817,-5.8148,-1.3679,7.4261,-8.1854,-4.0234,2.0869,-7.4943,-4.7070,-7.9570,-2.7196,-0.5591,7.1444,-5.2095,-1.3010,3.0188,-5.2170,-1.2842
