Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,2.9853,1.9317,2.7199,6.4880,4.8266,-1.1298,0.9218,5.6335,2.7792,5.7097,0.3207,-8.5828,-0.5989,5.7412,-1.6696,-4.1258,2.2086,4.5156,0.6656
3.9062,1.5953,2.0533,1.5177,6.2698,6.8821,-2.4932,-0.4854,5.7462,6.4703,5.6413,1.9906,-5.9019,1.5727,4.8987,-1.7446,-3.6127,6.0714,3.3825,2.6340
7.8125,0.7159,1.8065,-0.2087,5.8665,9.5579,-4.0934,-1.8341,5.3448,10.7931,5.1691,3.7997,-2.2593,5.0639,4.0883,-1.1465,-3.8745,10.0116,2.5433,5.1489
11.7188,0.4064,1.1077,-1.4018,5.6388,12.1277,-5.2467,-1.7405,4.6135,13.8771,4.3349,5.5087,1.4384,8.9964,4.0757,0.3637,-4.6954,12.5111,2.6617,7.9995
15.6250,0.3279,0.0023,-1.5302,5.4232,13.8273,-5.4273,0.2647,3.6577,14.5130,3.0948,6.7811,4.4084,12.2608,4.9647,2.4844,-5.1288,12.9570,3.5853,10.5419
19.5312,0.1495,-1.3180,-0.9565,4.5158,14.1832,-4.5759,3.3153,2.4194,12.9126,1.2884,7.4172,6.4317,14.0990,5.9602,4.5694,-4.0694,12.0221,4.3070,11.9733
23.4375,-0.0766,-2.5569,-0.5164,2.1854,13.1978,-3.1323,5.8509,0.7951,10.5326,-1.1991,7.6123,7.8675,14.4524,5.8095,6.1360,-1.0976,11.1403,3.6375,11.8829
27.3438,0.0557,-3.4271,-0.6690,-1.6758,11.2991,-1.7581,6.8292,-1.1896,9.0946,-4.1939,7.9537,9.2579,13.8595,3.6375,7.2744,3.0356,11.4473,1.1165,10.6412
31.2500,0.8619,-3.7931,-0.9576,-6.3029,9.0967,-0.9180,6.5299,-3.3379,9.4850,-7.1278,9.0485,10.8553,13.0031,-0.4169,8.5814,6.7191,12.9540,-2.5311,9.2553
35.1562,2.0993,-3.7588,-0.2801,-10.4434,7.0879,-0.5916,6.2785,-5.4203,11.2749,-9.2170,11.0063,12.4509,12.2429,-5.2169,10.6113,8.4495,14.5578,-5.7708,8.7215
39.0625,2.9485,-3.6229,2.2080,-13.1062,5.4770,-0.3114,7.3008,-7.3504,13.1361,-9.8621,13.2096,13.6246,11.4611,-9.2760,13.2592,7.8008,14.8757,-7.2189,9.3359
42.9688,2.5646,-3.7037,6.2796,-14.1138,4.1968,0.4892,9.6455,-9.2060,13.8028,-9.0222,14.6515,14.1803,10.2977,-11.5781,15.6136,5.6978,13.2765,-6.5036,10.5049
46.8750,0.8042,-4.1283,10.5972,-14.0602,3.0908,2.0471,12.0769,-11.0517,12.8846,-7.2988,14.6777,14.3748,8.5636,-12.0278,16.4863,3.7829,10.3474,-4.4339,11.2276
50.7812,-1.4965,-4.7277,13.5266,-13.7563,2.1129,4.0498,13.0514,-12.7313,10.9973,-5.6515,13.5788,14.7218,6.4933,-11.2963,15.2866,3.3329,7.4612,-2.4158,10.8914
54.6875,-3.0253,-5.1201,14.2015,-13.6377,1.3887,5.7870,11.9899,-13.8578,9.1900,-4.9153,12.5000,15.5124,4.6323,-10.2703,12.5749,4.5071,5.7775,-1.5986,9.7535
58.5938,-2.9806,-4.9419,13.0343,-13.5904,1.0819,6.5819,9.7950,-14.0682,8.1287,-5.4161,12.6218,16.4547,3.4379,-9.5392,9.8065,6.4342,5.4154,-2.3586,8.7185
62.5000,-1.7887,-4.0816,11.3109,-13.2650,1.1540,6.2243,8.1660,-13.3489,7.6199,-6.9019,14.1677,16.7586,2.8941,-9.2361,8.3743,7.9940,5.3859,-4.3811,8.5826
66.4062,-0.9216,-2.7644,10.2209,-12.5291,1.2115,5.1155,8.2566,-12.1304,6.7790,-8.7789,16.0275,15.6534,2.4350,-9.2211,8.6258,8.6318,4.3014,-7.1022,9.3521
70.3125,-1.8486,-1.4358,10.0888,-11.6251,0.5987,4.0329,9.7709,-11.0146,4.6897,-10.4489,16.3967,12.9738,1.2519,-9.3530,9.6040,8.5803,1.3279,-10.0459,10.1893
74.2188,-4.8639,-0.5264,10.3579,-10.9038,-1.2617,3.6766,11.2448,-10.3205,1.0860,-11.5244,14.0704,9.3797,-1.2134,-9.6050,9.7565,8.3926,-3.2888,-12.8123,10.0425
78.1250,-8.7045,-0.2483,10.2338,-10.4209,-4.4732,4.3007,11.2891,-9.8305,-3.3961,-11.8420,9.4685,6.0395,-4.9148,-9.9934,8.1182,8.2799,-8.4385,-14.8811,8.4630
82.0312,-11.3336,-0.5356,9.3792,-9.8198,-8.4854,5.6615,9.7655,-8.9938,-7.5522,-11.3732,4.5744,3.9982,-9.2111,-10.4696,5.0825,7.8895,-12.8753,-15.6100,5.9635
85.9375,-11.3789,-1.1298,8.0698,-8.6617,-12.2907,7.2779,7.9160,-7.4608,-10.3075,-10.1878,1.7264,3.6659,-13.2121,-10.9235,2.1571,6.7403,-15.9058,-14.6045,3.6393
89.8438,-9.1814,-1.7266,6.7455,-6.9278,-14.9151,8.7790,7.3233,-5.5079,-11.3455,-8.5205,2.0602,4.7474,-16.2153,-11.2855,0.8583,4.9201,-17.5899,-12.2044,2.3628
93.7500,-6.6426,-2.0874,5.4421,-5.2146,-15.9064,10.0739,8.5559,-3.9455,-11.2885,-6.8390,4.7102,6.5866,-17.9577,-11.5788,1.5698,3.3621,-18.4124,-9.5982,2.1893
97.6562,-5.9355,-2.0866,3.6849,-4.3739,-15.5046,11.2368,10.6246,-3.5103,-11.3196,-5.7576,7.3683,8.6149,-18.5589,-11.8171,3.2369,3.3387,-18.7641,-8.2841,2.4260
101.5625,-7.9926,-1.7216,0.9922,-4.8379,-14.3937,12.2465,11.7183,-4.1951,-12.4696,-5.7596,7.8277,10.5715,-18.2626,-11.8292,4.1389,5.4831,-18.6477,-9.1375,2.2662
105.4688,-11.8621,-1.1201,-2.4577,-6.1891,-13.2261,12.8406,10.6287,-5.0970,-14.9871,-6.8800,5.4222,12.4043,-17.2109,-11.2233,3.1582,9.1125,-17.7847,-11.7463,1.4450
109.3750,-15.3910,-0.5325,-5.6515,-7.3842,-12.2746,12.6507,7.6898,-4.9950,-18.1674,-8.5992,1.3539,14.0364,-15.4282,-9.6288,0.5744,12.4717,-15.9726,-14.5718,0.3753
113.2812,-16.7161,-0.2611,-7.3374,-7.5135,-11.4553,11.5403,4.4461,-3.2855,-20.7482,-10.0838,-2.2799,15.2653,-13.0075,-7.0950,-2.2173,13.8272,-13.3728,-15.9037,-0.3271
117.1875,-15.4737,-0.5119,-7.0067,-6.5058,-10.6589,9.8676,2.3132,-0.5585,-21.6372,-10.6583,-4.0056,15.8959,-10.3114,-4.3126,-3.8288,12.6514,-10.5100,-14.9604,-0.5076
121.0938,-12.8815,-1.2339,-5.4714,-5.1901,-10.0703,8.4133,1.3430,1.6924,-20.5261,-10.1880,-3.9236,15.9632,-7.9772,-2.3808,-3.9540,10.0110,-8.0061,-12.3418,-0.7506
125.0000,-10.7168,-2.0746,-4.4891,-4.6222,-10.1525,7.9546,0.1501,2.0883,-18.0096,-9.0916,-3.4420,15.7998,-6.6576,-2.1716,-3.5524,7.8341,-6.2650,-9.5129,-2.0102
128.9062,-10.0145,-2.5320,-5.6016,-5.1974,-11.2589,8.7532,-2.8873,0.3895,-15.1498,-7.9622,-4.0747,15.8332,-6.6426,-3.7025,-4.0137,7.5609,-5.3306,-7.7326,-4.8663
132.8125,-10.4635,-2.2521,-8.9990,-6.2720,-13.1824,10.3304,-8.1003,-2.2523,-12.7976,-7.0860,-6.2557,16.2522,-7.6338,-6.0066,-5.9902,9.1452,-4.9906,-7.2470,-8.9860
136.7188,-10.8811,-1.2860,-13.2649,-6.6342,-15.0656,11.7230,-13.9432,-4.0469,-11.1473,-6.2442,-9.0488,16.8172,-8.8680,-7.6762,-8.8512,11.1139,-5.0226,-7.3314,-13.2185
140.6250,-10.3040,-0.1116,-16.2416,-5.4756,-15.8490,12.0722,-17.8994,-3.8007,-9.8243,-4.9777,-10.9112,16.9903,-9.5612,-7.7541,-11.2101,11.6122,-5.4022,-7.0680,-16.2649
144.5312,-8.7945,0.6335,-16.4394,-3.0893,-14.9971,11.1425,-18.2520,-1.7362,-8.3988,-3.1167,-10.8734,16.2961,-9.4064,-6.3560,-12.1016,9.6615,-6.3370,-6.1698,-17.4402
148.4375,-7.3405,0.5526,-14.0067,-0.7146,-12.9591,9.4067,-15.3727,0.7084,-6.8839,-1.1351,-9.2268,14.6294,-8.7888,-4.5628,-11.8380,5.7512,-8.1045,-5.1609,-16.9979
152.3438,-6.9755,-0.2455,-10.5971,0.3753,-10.9502,7.6471,-11.5185,1.9424,-5.7766,0.0236,-7.2375,12.2646,-8.5445,-3.6453,-11.8062,1.4231,-10.7867,-4.7936,-15.8390
156.2500,-7.8538,-1.2100,-8.2586,-0.1694,-10.1355,6.3813,-9.2569,1.3569,-5.5734,-0.3972,-6.1597,9.5770,-9.3897,-4.1780,-13.3076,-1.7657,-14.0484,-5.2398,-14.8725
160.1562,-9.0252,-1.7097,-8.1420,-1.5375,-10.7776,5.5495,-9.6841,-0.3027,-6.1430,-2.2788,-6.3159,6.7351,-11.3816,-5.6828,-16.3306,-3.1303,-17.1045,-5.7855,-14.5061
164.0625,-9.0875,-1.4454,-9.9043,-2.4343,-12.0001,4.6888,-11.7522,-1.5671,-6.5221,-4.4559,-6.9101,3.6518,-13.7759,-7.0431,-19.2567,-3.0442,-18.9468,-5.3325,-14.5778
167.9688,-7.2144,-0.6333,-12.1404,-2.1360,-12.3929,3.4317,-13.1719,-1.3669,-5.4166,-5.2934,-6.6555,0.2553,-15.3976,-7.3472,-19.8155,-2.4485,-18.7704,-3.3166,-14.6711
171.8750,-3.7844,0.1570,-13.4443,-1.0711,-11.0479,1.8986,-12.1743,0.2042,-2.1359,-3.7040,-4.7190,-3.1595,-15.2991,-6.5088,-16.6552,-2.1640,-16.4013,-0.2802,-14.4938
175.7812,-0.1626,0.3768,-13.3214,-0.4576,-8.2577,0.6333,-8.8113,2.0275,2.7136,0.0580,-1.3133,-5.8478,-13.2849,-5.2087,-10.3968,-2.5056,-12.4662,2.4030,-14.0220
179.6875,2.1834,-0.1866,-12.3626,-1.2825,-5.3277,0.1027,-4.8742,2.8373,7.3587,4.3997,2.4200,-6.9578,-9.9720,-4.2456,-3.3924,-3.3407,-8.1426,3.4725,-13.3631
183.5938,2.5879,-1.3598,-11.6671,-3.4490,-3.6226,0.1675,-2.5747,2.1323,9.8306,7.2518,5.0840,-6.1058,-6.3706,-3.8485,1.6642,-4.3543,-4.5703,2.6676,-12.5364
187.5000,1.5082,-2.7893,-12.0048,-5.7916,-3.5641,-0.0009,-3.0180,0.4411,9.1686,7.2743,5.7878,-3.7526,-3.2916,-3.5175,3.3176,-5.2064,-2.2534,0.8713,-11.4090
191.4062,0.1154,-4.2039,-13.3082,-6.9672,-4.3630,-1.3952,-5.5635,-1.1997,6.0312,4.6417,4.5643,-1.0501,-0.9884,-2.5206,2.0648,-5.4974,-0.8489,-0.5847,-9.8519
195.3125,-0.4868,-5.5196,-14.7734,-6.5243,-4.7076,-4.3694,-8.4317,-2.0871,2.2837,0.9150,2.2959,0.8016,0.7573,-0.6323,-0.1972,-4.7347,0.4823,-0.8942,-7.9704
199.2188,0.1338,-6.7288,-15.4069,-5.2987,-3.8805,-8.1677,-9.9891,-2.3373,-0.1568,-1.8998,0.2804,1.2703,2.2324,1.5039,-1.5004,-2.5236,2.3703,-0.2722,-6.1862
203.1250,1.6505,-7.7135,-14.6069,-4.8068,-2.4106,-11.2146,-9.7315,-2.6763,-0.4193,-2.4939,-0.3232,0.7801,3.4297,2.7216,-0.9500,1.0415,4.6739,0.3736,-5.0709
207.0312,3.3520,-8.1858,-12.4299,-6.0950,-1.7066,-12.0615,-8.3367,-3.7650,1.0047,-0.8951,1.0357,0.3579,4.0272,2.1513,1.0218,5.1043,6.5001,0.2693,-5.0273
210.9375,4.6418,-7.8420,-9.4552,-8.9317,-2.9111,-10.3641,-6.9102,-5.6410,2.8582,1.7277,4.0571,0.8865,3.7246,-0.1063,3.2928,8.2397,6.8428,-0.6004,-6.0289
214.8438,5.3375,-6.6187,-6.4056,-11.9625,-5.8536,-7.1758,-6.0961,-7.7174,4.1089,3.8792,7.6778,2.4928,2.6464,-2.9846,4.9756,9.1514,5.4011,-1.5679,-7.5780
218.7500,5.6540,-4.8229,-3.7676,-13.6964,-8.9460,-4.2784,-5.6919,-9.2963,4.5855,4.5989,10.5296,4.5056,1.4542,-5.1546,5.9496,7.4911,2.9564,-1.9495,-8.8905
222.6562,5.9786,-2.9925,-1.5866,-13.5578,-10.1653,-2.9571,-4.9162,-10.1317,4.8587,3.8560,11.6367,5.9921,1.0237,-5.9207,6.7411,4.2244,0.9708,-1.7101,-9.1877
226.5625,6.6201,-1.5531,0.5004,-12.2040,-8.4319,-3.0640,-2.9884,-10.5595,5.5740,2.3336,11.0142,6.4589,1.8847,-5.6493,8.0012,1.2126,0.6402,-1.5487,-7.9533
230.4688,7.6499,-0.5206,3.0291,-10.9029,-4.3677,-3.0684,0.4380,-11.0984,6.8340,0.8611,9.7546,6.1864,3.8234,-5.4221,10.0396,0.1959,2.0658,-2.3270,-5.0812
234.3750,8.8626,0.5115,6.3632,-10.4991,0.1321,-1.1275,5.1898,-11.8815,8.1106,-0.0849,9.4203,5.9441,5.9495,-6.1813,12.6898,1.7900,4.1603,-4.3131,-0.9144
238.2812,9.8383,2.0542,10.3859,-10.8045,3.1878,3.5207,10.7035,-12.4353,8.6913,-0.5337,11.0182,6.3089,7.2031,-8.0080,15.4484,5.1307,5.3817,-6.8724,3.8112
242.1875,10.1005,4.2834,14.3917,-10.8876,4.1263,9.8083,16.1474,-12.0405,8.2350,-0.8317,14.2144,7.1182,6.9660,-10.0674,17.6775,8.3894,4.7760,-8.8688,8.1250
246.0938,9.3458,6.7906,17.2909,-10.0045,3.7093,15.3055,20.4835,-10.4209,6.9809,-1.3252,17.4018,7.5055,5.3757,-11.2507,18.7551,9.8344,2.5788,-9.4719,11.0907
250.0000,7.6571,8.7221,18.0789,-8.3958,3.2906,17.6542,22.6218,-8.2043,5.4923,-2.1408,18.7024,6.5431,3.1597,-11.0277,18.2432,8.7892,-0.0489,-8.7441,12.1367
253.9062,5.5559,9.2393,16.3453,-7.2707,3.6104,16.0486,21.7957,-6.7295,4.2170,-3.1504,17.2902,4.0511,1.1406,-9.8725,16.1504,5.9385,-1.9255,-7.5643,11.3128
257.8125,3.7918,8.0104,12.5217,-7.9401,4.1829,11.7791,18.0356,-7.2497,3.2526,-4.0705,14.0918,0.9756,-0.2363,-8.9422,13.1771,2.8602,-2.6995,-6.9684,9.3187
261.7188,2.9291,5.4184,7.6932,-10.7412,3.7351,7.4635,12.3864,-10.0535,2.4607,-4.5941,11.2774,-0.9955,-1.0622,-9.2373,10.6518,1.1156,-3.0167,-7.4224,7.2338
265.6250,2.9679,2.3572,3.0690,-14.5934,1.3214,5.4579,6.5754,-14.1269,1.7317,-4.5018,10.7964,-0.3907,-1.7706,-10.8429,9.9654,1.4437,-3.9159,-8.5684,6.0464
269.5312,3.2769,-0.2475,-0.5598,-17.5721,-2.7851,6.4719,2.2065,-17.6374,1.0779,-3.7449,12.9567,3.1153,-2.7808,-12.7961,11.7010,3.4815,-5.9521,-9.5921,6.2138
273.4375,2.9447,-1.8922,-3.0406,-18.1396,-7.1238,9.2651,-0.0437,-18.9636,0.4439,-2.4988,16.0880,8.4149,-4.2346,-13.6770,15.0320,6.0966,-8.7306,-9.8865,7.4886
277.3438,1.3667,-2.6621,-4.6568,-16.1685,-9.9771,11.5722,-0.6824,-17.6244,-0.5471,-1.1469,17.6003,13.5369,-5.9536,-12.5237,17.9458,8.0789,-11.1849,-9.4951,9.1046
281.2500,-1.3087,-3.0475,-5.7131,-13.0326,-10.4912,11.6072,-0.9233,-14.5194,-2.5699,-0.1608,15.7350,16.7269,-7.5723,-9.4568,18.3328,8.7744,-12.3499,-9.0272,10.2043
285.1562,-4.1907,-3.5596,-6.2607,-10.6949,-9.1721,9.1555,-1.8194,-11.3481,-6.1746,0.1030,10.7736,17.3617,-8.7212,-5.6134,15.3076,8.3216,-12.0243,-9.1575,10.2586
289.0625,-6.1338,-4.3984,-6.1680,-10.4330,-7.4522,5.5927,-3.6320,-9.6007,-11.2315,-0.4182,4.8385,16.1367,-9.1706,-2.4640,9.8403,7.3987,-10.8510,-10.1146,9.2442
292.9688,-6.3954,-5.3559,-5.4364,-12.0787,-6.7211,2.9048,-5.8554,-9.7671,-16.7121,-1.4595,0.4334,14.4486,-8.9248,-0.9840,4.1810,6.6818,-9.8239,-11.5286,7.5099
296.8750,-5.0344,-5.9784,-4.4330,-14.2695,-7.5583,2.4216,-7.7904,-11.2330,-21.0805,-2.5762,-1.2080,13.4241,-8.2811,-1.2132,0.4158,6.3798,-9.6591,-12.7098,5.4571
