Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,0.4155,2.0131,4.2951,3.8441,1.7076,0.4689,3.5221,2.0450,2.1593,1.2398,0.2840,3.3749,3.2520,1.9325,2.0999,2.2856,3.6929,6.2572,4.9309
3.9062,1.3512,2.5780,3.7142,3.2427,1.1895,1.2727,2.9482,1.9357,2.5681,1.3548,0.8569,3.0280,2.8858,1.8619,2.5707,2.1030,3.4080,5.9106,4.3262
7.8125,1.7064,2.6811,2.0815,1.9609,0.1654,1.9857,1.2377,1.4955,2.7843,1.0594,1.4284,2.5809,2.3918,1.6484,2.5094,1.6542,2.8578,5.1603,3.0212
11.7188,1.1063,1.9631,-0.5070,0.1136,-1.0999,2.1812,-1.5883,0.6432,2.6118,0.2797,1.7966,2.1181,1.9170,1.3145,1.5898,0.9469,2.1469,4.0624,1.2546
15.6250,-0.2365,0.5505,-3.3658,-1.8395,-2.1409,1.6969,-4.8745,-0.5350,2.0815,-0.7601,1.8827,1.7470,1.6131,0.9674,-0.0629,0.1799,1.4571,2.8479,-0.3907
19.5312,-1.4924,-0.8777,-5.4437,-3.2127,-2.5089,0.7929,-7.5093,-1.7501,1.5220,-1.5320,1.8241,1.5783,1.5809,0.7722,-1.8140,-0.3030,0.9630,1.8635,-1.2454
23.4375,-1.5903,-1.4003,-5.7903,-3.3624,-1.9842,0.0394,-8.4001,-2.5706,1.4470,-1.3894,1.9354,1.7000,1.8554,0.8820,-2.7832,-0.1787,0.7546,1.4457,-0.8947
27.3438,0.1723,-0.3984,-4.0214,-1.9986,-0.6786,-0.0161,-7.0110,-2.5851,2.2795,0.0887,2.5286,2.1345,2.4091,1.3510,-2.3188,0.6512,0.7983,1.7641,0.5944
31.2500,3.6306,1.9949,-0.5437,0.6067,1.0067,0.8089,-3.6734,-1.6194,4.0504,2.7533,3.6829,2.7822,3.1342,2.0700,-0.4179,1.9384,0.9405,2.6912,2.6807
35.1562,7.6839,4.8448,3.5678,3.6319,2.5231,2.2048,0.5053,0.1008,6.2562,5.7568,5.1132,3.3810,3.7966,2.7704,2.1715,3.1340,0.9413,3.7684,4.5745
39.0625,10.7568,6.8407,6.9675,5.9732,3.3560,3.5452,4.1006,1.9567,7.9999,7.7985,6.2486,3.5315,4.0180,3.1172,4.2620,3.5983,0.5311,4.3220,5.5518
42.9688,11.5775,6.9742,8.5289,6.6806,3.1988,4.2517,5.9718,3.1631,8.3867,7.7109,6.5090,2.8186,3.3643,2.8662,4.8072,2.8760,-0.5028,3.7235,5.2100
46.8750,9.8610,5.0798,7.7353,5.3814,2.0882,4.1108,5.7171,3.1385,6.9806,5.1185,5.6346,1.0062,1.5627,2.0148,3.4431,0.9035,-2.2070,1.7017,3.5793
50.7812,6.5018,1.9180,4.8408,2.4841,0.4548,3.3496,3.7751,1.8316,4.0648,0.7858,3.8650,-1.7854,-1.2499,0.8566,0.6851,-1.9497,-4.3697,-1.4555,1.0834
54.6875,3.1377,-1.2428,0.7629,-0.9630,-0.9741,2.4444,1.1467,-0.1990,0.5349,-3.6224,1.8373,-5.0338,-4.4226,-0.1160,-2.3350,-5.0173,-6.5163,-4.9556,-1.6090
58.5938,1.2950,-3.2957,-3.2571,-3.7267,-1.4457,1.8097,-1.1066,-2.0338,-2.5404,-6.3297,0.2434,-7.9664,-6.9711,-0.4373,-4.4530,-7.5812,-8.0457,-7.8377,-3.7968
62.5000,1.5782,-3.8236,-6.1145,-4.9493,-0.5488,1.5790,-2.3394,-2.8636,-4.4542,-6.3896,-0.5554,-9.8672,-8.0118,0.0850,-5.0550,-9.1135,-8.4827,-9.4433,-4.9748
66.4062,3.3641,-3.2001,-7.2546,-4.5344,1.5076,1.6006,-2.5484,-2.4193,-5.1820,-4.2309,-0.7173,-10.3895,-7.2295,1.2380,-4.3383,-9.4234,-7.7248,-9.7583,-5.0107
70.3125,5.1890,-2.2484,-6.8584,-3.1472,3.9058,1.6127,-2.2603,-1.1077,-5.3014,-1.4389,-0.7845,-9.7002,-5.0848,2.4759,-3.1161,-8.6644,-6.1295,-9.4052,-4.1911
