Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,2.8128,0.2213,1.1298,1.1612,1.1918,-2.5700,-5.8551,0.5307,-1.6229,4.2431,1.5898,-0.9187,-0.5255,-0.9014,1.2409,-2.8460,-2.1049,-0.0915,-0.6393
3.9062,-2.6848,-1.6491,0.1172,-0.3280,0.0218,-0.9135,-7.1712,-0.3812,-3.0875,2.1602,1.4204,-1.4068,-0.3937,-0.4267,-0.8203,0.0014,-1.8408,-1.7570,-1.2279
7.8125,-7.4996,-2.2053,-0.8908,-1.4200,-0.5491,1.7997,-4.0938,-0.5624,-3.5707,1.2585,3.2426,-0.6216,1.0055,0.3309,-2.3602,0.7768,-1.3698,-2.3548,-0.7038
11.7188,-9.4220,-0.9876,-1.3958,-1.8270,-0.2505,4.4259,1.7104,-0.1181,-2.6640,2.6368,6.3982,1.4030,3.3274,1.0022,-2.1222,0.4389,-0.8512,-1.3522,0.9274
15.6250,-7.5155,1.4652,-1.0180,-1.6783,0.5966,5.9797,6.6220,0.4125,-0.7123,6.3346,9.2696,4.0039,5.6976,1.3323,0.4264,1.6618,-0.2069,0.8974,3.0528
19.5312,-2.7868,3.8164,0.1481,-1.4649,1.2152,6.1265,7.7200,0.3755,1.3046,11.0924,10.2284,6.1572,7.1220,1.2429,4.4859,6.3442,0.7348,3.1926,4.6839
23.4375,2.2681,4.6772,1.4913,-1.7392,0.8488,5.2177,5.0154,-0.5887,2.3166,14.9387,8.6803,6.9493,6.9771,0.7371,8.1758,13.4901,1.9362,4.0849,4.9451
27.3438,5.0067,3.4444,2.2410,-2.7648,-0.7398,3.9509,1.4862,-2.3179,1.7893,16.3007,5.4891,5.9932,5.3049,-0.2150,9.6015,19.4714,2.9948,2.7047,3.5564
31.2500,4.0628,0.6808,1.9791,-4.3541,-3.0978,2.9576,0.7984,-4.2322,0.0110,14.9279,2.4614,3.5719,2.7518,-1.6747,8.0486,20.7158,3.3233,-0.7098,1.0097
35.1562,-0.0107,-2.2288,0.9062,-6.0015,-5.3614,2.5773,4.4137,-5.6911,-2.1558,11.9946,1.2183,0.4473,0.1955,-3.6086,4.4465,16.6634,2.5484,-4.9361,-1.6944
39.0625,-5.2205,-3.9321,-0.3546,-7.2059,-6.7812,2.8575,10.3105,-6.3588,-3.8718,9.2861,2.2106,-2.5307,-1.7182,-5.7757,0.7282,10.3855,0.7939,-8.4705,-3.6086
42.9688,-9.3689,-3.9134,-1.2632,-7.7474,-7.1291,3.6425,14.3321,-6.3382,-4.8320,8.0197,4.5350,-4.7851,-2.8631,-7.7709,-1.4707,6.1099,-1.4154,-10.3516,-4.3533
46.8750,-11.2416,-2.7274,-1.7607,-7.7330,-6.7299,4.6179,13.1582,-6.0174,-5.3264,8.1241,6.6466,-6.1579,-3.5927,-9.2341,-1.8319,5.5933,-3.5629,-10.5749,-4.2507
50.7812,-11.0558,-1.5414,-2.2367,-7.4150,-6.1485,5.3150,6.6657,-5.7708,-5.8389,8.4832,7.4370,-6.8123,-4.4177,-10.0635,-1.3565,6.4991,-5.5062,-9.8704,-3.9951
54.6875,-10.0156,-1.3355,-3.1042,-6.9567,-5.8022,5.1853,-2.0396,-5.7427,-6.5302,7.9557,6.9197,-7.0104,-5.6091,-10.4394,-1.3977,4.4439,-7.4551,-9.0618,-4.0938
58.5938,-9.3917,-2.3169,-4.3628,-6.3445,-5.7763,3.8174,-8.8248,-5.8437,-7.0362,6.3984,6.0725,-6.9392,-6.9738,-10.6059,-2.5217,-2.7401,-9.5538,-8.5019,-4.4783
62.5000,-9.7719,-3.9117,-5.5451,-5.5038,-5.9183,1.2146,-11.1991,-5.9165,-6.7616,4.9041,6.0088,-6.6824,-7.9433,-10.5768,-4.1108,-12.1359,-11.4462,-7.9795,-4.5737
66.4062,-10.9031,-5.2651,-6.1108,-4.4949,-6.0637,-2.0618,-9.4869,-5.9037,-5.4423,5.0293,7.1082,-6.3094,-7.9244,-10.0299,-5.0049,-17.0684,-12.2775,-7.1091,-3.7836
70.3125,-12.0884,-5.8372,-5.9542,-3.5970,-6.1754,-5.0409,-5.8721,-5.8792,-3.5199,7.5445,8.7281,-5.9657,-6.7058,-8.5268,-4.6265,-12.0947,-11.2580,-5.8479,-2.0436
74.2188,-12.7521,-5.6713,-5.5720,-3.1855,-6.3067,-6.7531,-2.3979,-5.9452,-1.9933,11.6301,9.6644,-5.8645,-4.6713,-5.9309,-3.6252,2.1027,-8.4084,-4.6967,-0.0258
78.1250,-12.7643,-5.2084,-5.7119,-3.4887,-6.4786,-6.6952,0.3142,-6.1114,-1.8072,15.1619,8.9966,-6.1728,-2.6782,-2.7004,-3.4657,18.0389,-4.8638,-4.4078,1.1867
