Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,1.1770,1.0301,-4.6930,-3.9203,-2.8950,2.9258,-3.7448,-0.7202,1.5963,2.6980,0.6400,-1.6098,-5.7292,-5.1863,-2.4158,-1.5435,-4.5058,-0.0103,-5.2585
3.9062,2.4142,2.3514,-6.0041,-2.5880,-1.0218,2.3180,0.7387,-0.5655,3.1076,2.1678,0.6371,0.6142,-1.0510,-0.6234,-2.1652,-1.2610,-0.1588,2.3204,-2.9588
7.8125,4.1126,4.8750,-5.3795,-0.2683,2.0038,1.6552,7.7377,0.0003,4.9687,1.3692,1.3537,4.1147,5.6869,5.8866,-0.9754,-0.5202,5.9455,4.6559,1.1941
11.7188,5.8278,7.7820,-1.9695,2.7804,5.5082,1.2535,15.5897,1.0247,6.4062,0.3114,2.3751,7.6587,12.9428,12.7458,0.5533,0.8243,12.2687,5.8560,6.4404
15.6250,7.1587,9.9012,3.8040,6.0818,8.5610,1.2336,21.8465,2.3923,6.8392,-0.8909,2.9750,9.7595,18.8916,18.1242,1.6014,2.6051,17.1095,5.3018,11.3655
19.5312,7.9533,10.4583,10.3679,9.1735,10.4531,1.5666,24.4588,3.8679,6.2901,-2.0110,2.6323,9.6165,22.3392,20.8842,1.7188,4.3313,19.4570,3.3841,14.6283
23.4375,8.3067,9.5973,15.7747,11.7711,11.0261,2.2837,22.8791,5.1856,5.3674,-2.8041,1.4063,7.6534,23.2335,21.0911,1.0806,5.4033,19.4120,1.3342,15.6850
27.3438,8.3724,8.2652,18.6373,13.7612,10.6493,3.5616,18.3864,6.1304,4.7963,-3.1617,-0.1385,5.2148,22.4426,19.7983,0.1999,5.4356,17.9208,0.4414,15.0206
31.2500,8.1704,7.5080,18.6677,15.0688,9.8977,5.4880,13.3691,6.5828,4.8329,-3.2108,-1.4051,3.5848,20.9800,18.2795,-0.6346,4.4738,16.0308,1.1630,13.7294
35.1562,7.5761,7.6844,16.5756,15.5544,9.1861,7.6584,9.9606,6.5341,5.0262,-3.2546,-2.2410,3.0251,19.2425,17.2363,-1.6670,2.9502,14.1992,2.7626,12.7462
